,DivSampCA,SamplingCA,DivSampCA,SamplingCA,DivSampCA,SamplingCA,DivSampCA,SamplingCA,DivSampCA,SamplingCA,DivSampCA,SamplingCA,DivSampCA,SamplingCA,DivSampCA,SamplingCA
Number of uncovered tuples,20,,30,,40,,50,,60,,70,,80,,90,
aaed2000,22,176,23,226,24,275,29,372,28,390,29,420,34,474,34,474
adder,16,118,20,167,21,211,23,239,21,282,24,316,28,328,24,328
adderII,17,112,19,155,20,204,22,220,23,250,23,289,22,299,23,299
aeb,14,122,16,164,18,196,18,207,21,246,19,282,22,306,22,306
aim711,15,122,19,150,20,194,18,201,22,207,21,207,21,241,24,241
aki3068net,16,101,16,156,18,189,18,207,20,241,22,268,21,287,24,287
am31_sim,12,116,17,168,18,179,17,203,17,228,19,293,21,312,24,312
asb2305,15,118,15,148,19,211,20,235,18,248,20,274,21,300,21,300
asb,16,110,16,139,18,169,21,215,22,225,22,283,21,303,22,303
assabet,12,108,15,143,16,163,18,194,20,251,20,262,21,283,22,283
at91sam7sek,16,121,15,123,18,161,18,204,18,233,19,240,20,281,22,281
at91sam7xek,13,97,14,158,19,187,19,237,19,264,21,293,20,292,20,292
atlas_mips32_4kc,16,125,19,162,20,185,22,199,24,252,24,292,23,292,26,292
atlas_mips64_5kc,17,122,17,157,21,197,20,217,22,224,23,280,23,306,23,306
axtls,13,39,13,41,15,64,19,66,17,66,19,71,20,76,21,76
brutus,13,113,16,146,17,151,19,219,17,231,17,239,20,272,20,272
buildroot,3,28,3,50,3,50,4,80,4,80,4,80,4,122,4,122
busybox_1_28_0,8,89,10,133,8,174,9,174,9,204,14,263,13,263,12,263
calm16_ceb,11,96,15,175,17,204,19,225,20,259,20,297,20,297,20,297
calm32_ceb,15,98,17,143,18,182,18,194,18,211,21,275,20,292,22,292
ceb_v850,15,105,20,160,18,179,18,210,20,299,24,302,22,302,21,302
cerf,15,81,15,126,18,165,20,221,20,237,21,237,25,284,24,284
cerfpda,14,95,18,146,19,169,21,225,21,255,21,300,26,309,22,309
cma230,14,108,18,146,19,211,17,236,19,268,21,272,25,299,22,299
cma28x,15,113,16,132,17,167,18,226,18,226,21,274,22,285,21,285
cme555,14,112,16,160,18,180,18,254,21,266,21,299,21,314,23,314
cq7708,19,141,21,180,23,208,23,265,24,265,29,313,27,333,26,333
cq7750,16,108,17,131,17,196,17,226,22,261,19,281,23,307,24,307
csb281,16,109,20,186,20,211,23,251,26,302,26,302,27,330,26,330
dreamcast,14,108,17,146,21,179,22,251,23,282,26,293,23,293,28,293
e7t,17,120,17,161,22,196,24,247,22,247,22,259,24,298,21,298
ea2468,15,102,17,155,20,201,17,232,20,283,19,303,23,333,23,333
eb40a,14,108,15,162,16,188,19,235,19,251,21,267,24,304,23,304
eb40,14,111,16,150,21,176,20,196,25,254,24,274,24,293,24,293
eb42,16,109,13,164,16,187,17,217,20,250,19,266,22,309,23,309
eb55,17,119,17,169,16,191,17,213,21,265,22,287,22,290,23,290
ebsa285,14,93,17,136,20,209,18,231,18,257,21,295,22,314,24,314
ec555,14,105,15,137,18,187,20,236,18,262,23,287,22,295,23,295
ecos-icse11,14,103,15,138,17,182,19,191,18,219,22,246,21,248,23,248
edb7xxx,16,85,17,118,17,138,19,178,21,231,23,254,24,282,22,282
edosk2674,15,103,18,131,20,160,20,215,21,260,21,267,22,285,25,285
embtoolkit,676,1245,744,1544,772,1775,794,1994,809,2142,819,2300,834,2448,850,2448
excalibur_arm9,17,130,21,195,23,263,25,323,28,323,29,359,29,438,30,438
fads,16,131,17,152,20,167,17,192,18,230,22,283,23,297,24,297
flexanet,15,127,17,153,18,203,19,262,22,264,22,284,24,319,26,319
freebsd-icse11,27,186,27,237,30,330,30,363,30,413,33,530,33,569,34,569
frv400,17,122,19,183,18,215,21,261,22,268,22,315,22,341,23,341
gps4020,15,126,15,167,17,186,19,241,20,260,22,279,22,302,24,302
grg,12,101,17,143,18,189,23,224,21,233,22,278,22,329,24,329
h8300h_sim,12,100,16,127,16,175,18,193,19,193,21,217,23,252,22,252
h8max,16,108,22,157,18,193,22,233,20,233,22,262,22,278,23,278
h8s_sim,13,100,17,134,18,159,18,198,18,225,22,264,20,264,24,264
hs7729pci,22,162,23,217,25,263,26,297,28,335,32,348,33,413,34,413
innovator,24,154,25,229,27,284,29,364,31,391,32,407,33,420,36,420
integrator_arm7,19,99,21,164,22,204,23,254,24,281,24,307,27,353,27,353
integrator_arm9,21,140,18,191,21,227,24,310,25,329,31,346,28,372,26,372
ipaq,13,95,19,143,16,169,17,184,22,224,22,268,20,297,21,297
iq80310,13,107,16,155,16,185,20,219,20,261,23,280,23,307,22,307
iq80321,14,109,18,147,19,199,18,221,18,243,21,282,20,304,23,304
ixdp425,17,112,16,151,21,174,20,203,22,242,23,262,25,273,24,273
jmr3904,13,97,15,161,17,179,17,218,20,240,19,252,21,284,21,284
jtst,13,112,16,142,18,187,19,226,17,231,18,251,21,291,23,291
linux,20,118,21,159,22,180,25,219,23,230,24,251,26,309,28,309
lpcmt,14,117,17,149,16,194,17,217,20,223,22,248,21,260,19,260
m5272c3,14,124,15,191,16,200,19,242,23,311,20,320,21,320,25,320
mac7100evb,10,91,13,138,15,157,17,199,21,219,17,255,21,273,19,273
mace1,11,93,15,127,17,196,18,209,21,225,18,240,19,248,18,248
malta_mips32_4kc,17,126,18,164,19,181,18,213,20,242,23,279,25,307,22,307
malta_mips64_5kc,15,105,17,140,17,160,19,213,19,250,22,271,21,285,23,285
mb93091,14,123,18,174,18,225,19,256,23,299,22,299,25,357,23,357
mb93093,14,117,17,184,16,201,20,234,20,283,19,289,23,330,22,330
mbx,14,99,18,129,21,191,19,220,23,248,25,251,25,302,24,302
mcb2100,15,100,17,142,18,165,19,231,20,231,22,253,22,277,21,277
moab,16,117,17,175,20,196,18,220,19,275,22,294,21,312,22,312
mpc50,15,140,17,172,18,217,18,239,17,239,19,271,21,311,22,311
nano,15,103,19,161,19,194,23,227,23,259,23,259,26,333,24,333
npwr,16,119,18,158,21,174,22,224,22,254,21,283,24,288,22,288
ocelot,15,123,19,199,22,238,22,239,25,284,23,310,24,341,24,341
olpce2294,17,103,20,143,20,172,19,201,22,259,21,275,22,275,25,275
olpch2294,15,115,18,152,19,190,18,216,19,273,19,300,20,300,22,300
olpcl2294,17,114,17,134,20,180,20,209,23,244,24,269,24,323,27,323
p2106,12,104,13,151,15,171,17,201,16,259,17,273,20,297,21,297
pati,13,115,15,136,15,165,17,220,21,252,20,260,20,282,22,282
pc_i82544,12,107,16,156,18,200,17,210,20,266,22,278,22,346,20,346
pc_i82559,16,111,17,142,20,201,22,247,23,293,23,293,24,352,25,352
pc_rltk8139,17,115,19,176,21,190,22,220,21,264,21,270,24,281,26,281
pc_usb_d12,14,113,11,150,14,189,15,236,18,300,18,316,18,338,20,338
pc_vmWare,16,110,16,136,17,199,17,231,21,274,20,296,21,302,23,302
phycore229x,14,110,17,157,19,181,20,226,19,247,20,262,20,274,21,274
phycore,13,95,12,124,15,170,17,209,19,230,18,237,18,254,21,254
picasso,15,103,17,165,18,187,17,202,21,244,21,279,23,324,23,324
pid,15,89,16,118,17,190,19,204,20,236,19,272,22,283,21,283
prpmc1100,13,91,14,174,16,191,17,232,18,254,20,294,23,324,21,324
psim,12,108,16,143,17,155,17,182,16,186,18,200,20,249,20,249
rattler,15,122,20,162,20,203,21,224,23,240,24,254,24,284,25,284
ref4955,15,108,16,141,16,192,18,218,18,231,23,287,20,310,20,310
refidt334,18,117,19,170,20,213,20,225,23,273,22,303,26,325,25,325
sa1100mm,14,94,16,148,17,171,18,198,18,214,23,244,22,251,22,251
sam7ex256,13,115,16,190,21,199,19,244,19,263,22,301,21,335,23,335
se7751,17,129,18,177,19,252,23,282,24,304,23,358,24,366,27,366
sh4_202_md,16,108,18,172,19,192,24,241,23,269,23,320,23,330,27,330
sh7708,20,153,22,169,25,237,24,260,27,296,24,320,30,349,27,349
skmb91302,15,100,17,168,17,196,20,240,20,259,22,307,21,327,21,327
sleb,15,115,15,164,17,174,16,195,20,232,19,232,17,247,21,247
smdk2410,19,156,26,232,27,270,27,313,29,341,27,347,29,366,29,366
snds,15,92,15,151,18,203,17,216,17,245,20,263,17,300,20,300
sparc_erc32,13,92,15,143,15,182,16,196,18,234,19,234,21,267,19,267
sparc_leon,11,93,15,126,14,163,18,189,20,216,20,254,21,265,22,265
sparclite_sim,13,112,15,143,19,181,19,215,21,227,20,248,22,280,22,280
stb,12,100,16,163,17,197,17,212,20,230,21,269,18,269,21,269
stdeval1,13,92,16,143,17,171,16,195,18,222,23,275,22,275,23,275
stm3210e_eval,12,116,16,130,18,190,21,213,19,221,20,246,21,266,22,266
toybox,1,2,1,2,1,9,2,18,2,18,2,18,2,18,3,18
ts1000,14,108,17,157,18,177,17,218,20,252,22,293,23,303,21,303
ts6,15,115,16,162,19,223,20,242,22,286,23,303,24,310,24,310
tx39_sim,13,86,15,136,15,182,19,212,20,268,21,268,19,287,21,287
uClinux,1,2,1,8,1,8,1,8,1,8,2,22,2,22,2,22
uClinux-config,2,13,2,13,2,25,3,25,3,32,4,38,4,49,4,49
uE250,16,118,16,184,18,201,19,226,20,226,19,271,22,331,20,331
vads,12,103,16,148,19,189,19,213,19,226,18,254,21,267,21,267
viper,14,101,16,155,19,211,20,217,21,276,21,293,23,293,25,293
vrc4373,13,83,16,130,17,157,19,176,17,210,21,280,20,280,21,280
vrc4375,14,103,16,159,19,188,21,244,20,244,20,286,21,313,22,313
XSEngine,16,109,17,165,20,203,21,247,23,286,24,297,22,297,22,297
